"",gene_symbol,GSM2715271,GSM2715272,GSM2715273,GSM2715274,GSM2715275,GSM2715276,GSM2715277,GSM2715278,GSM2715279
ENSG00000010256,UQCRC1,10.8868,4.749,117.9256,1.986,53.6422,2.8971,174.7645,168.67,154.9659
ENSG00000010270,STARD3NL,0.9517,0.9638,7.959,0,4.1235,1.9922,33.8987,12.0287,10.9996
ENSG00000010278,CD9,0,0.9892,98.2499,0.987,91.0427,0.9886,101.2265,25.0791,138.7662
ENSG00000010282,HHATL,0,0,0,0,0,0,0,0,0
ENSG00000010292,NCAPD2,1.0395,0,1.9713,0,5.1106,0,6.0218,5.8745,3.8936
ENSG00000010295,IFFO1,0,0,1.9889,0,0,0,11.7774,1.9832,0.9775
ENSG00000010310,GIPR,0,0,2.9753,0,0,1.0205,0.9789,0,0
ENSG00000010318,PHF7,0,0,0,0,0,0,2.0146,0,2.0621
ENSG00000010319,SEMA3G,0,0,0,0,0,0,0,0,0
ENSG00000010322,NISCH,0,0.9615,5.9445,0,2.9435,0,10.8344,18.7342,11.8093
ENSG00000010327,STAB1,0.9487,1.0257,0,0,0,0,0,0,0
ENSG00000010361,FUZ,0,0,0,0,0,0,0,0,0
ENSG00000010379,SLC6A13,0,1.0173,0,0,0,0,0,0,0
ENSG00000010404,IDS,0,0.5993,5.5164,0,6.0143,0,22.2249,3.1306,14.6717
ENSG00000010438,PRSS3,0,0,8.0735,0,0,0,0,1.0299,1.0413
ENSG00000010539,ZNF200,0,0,0.9994,0,2.97,0,6.9536,0,0
ENSG00000010610,CD4,1.0289,0,0,0,0,0,0,0,0
ENSG00000010626,LRRC23,0.9729,0,0,0,0,0.9782,14.1432,4.1183,2.0802
ENSG00000010671,BTK,0,0,0,0,0,0,0,0,0
ENSG00000010704,HFE,0.9513,0,0,0,0,4.1043,3.9791,0,0.9663
ENSG00000010803,SCMH1,0,0,0,1.0113,2.958,0,14.8694,0.9827,0.9742
ENSG00000010810,FYN,1.0146,0,5.1049,0,3.9579,0,25.307,6.9659,1.0375
ENSG00000010818,HIVEP2,0,0,0.9842,0,0,0,2.9086,0,0.9616
ENSG00000010932,FMO1,0,0,0,0,0,1.0102,1.0471,0.9889,0
ENSG00000011007,ELOA,4.0989,5.1857,9.8812,1.0103,3.922,3.0507,57.4462,4.9195,6.8429
ENSG00000011009,LYPLA2,0.954,1.9951,26.0315,0,21.8965,0.9673,42.0446,32.9723,22.7684
ENSG00000011021,CLCN6,0.9535,1.3795,0,0,2.0399,0,6.81,2.9603,1.9317
ENSG00000011028,MRC2,0,0,0,0,0.9874,0,33.1241,1.9702,0.9857
ENSG00000011052,NME1-NME2,0,0,2.3723,0,3.827,0,0,19.977,24.7934
